priority,verdict,skip_reason,type,pr,title,author,merged_by,reviewers,subsystems,merged_at,labels,additions,deletions,files_in_release,files_total,files_existing,files_new,merge_sha,url
90,CANDIDATE,,runtime_bug,#31584,[BugFix] Fix async scheduling for pooling models,njhill,vllm-bot,gemini-code-assist; DarkLight1337,worker,2025-12-31,"bug, ready, v1",131,92,7,7,vllm/v1/executor/ray_utils.py | vllm/v1/outputs.py | vllm/v1/pool/metadata.py | vllm/v1/worker/gpu/model_runner.py | vllm/v1/worker/gpu_model_runner.py | vllm/v1/worker/gpu_worker.py | vllm/v1/worker/worker_base.py,,6c2cfb62ffb81b1ec3c39d2501d1e51ed6e76a4e,https://github.com/vllm-project/vllm/pull/31584
90,CANDIDATE,,runtime_bug,#30739,[BugFix] Support online dense model DP without overhead,njhill,youkaichao,gemini-code-assist; youkaichao,"config, distributed, engine, scheduler, worker",2026-01-02,"ready, v1, kv-connector",344,145,20,20,tests/test_config.py | tests/v1/engine/test_engine_core_client.py | vllm/compilation/backends.py | vllm/compilation/decorators.py | vllm/config/model.py | vllm/config/parallel.py | vllm/config/vllm.py | vllm/distributed/kv_transfer/kv_connector/v1/mooncake_connector.py | vllm/distributed/kv_transfer/kv_connector/v1/nixl_connector.py | vllm/distributed/parallel_state.py | vllm/engine/arg_utils.py | vllm/forward_context.py | vllm/v1/core/sched/scheduler.py | vllm/v1/engine/coordinator.py | vllm/v1/engine/core.py | vllm/v1/engine/core_client.py | vllm/v1/engine/llm_engine.py | vllm/v1/engine/utils.py | vllm/v1/worker/gpu/model_runner.py | vllm/v1/worker/gpu_worker.py,,bd877162ebd7a2eb36961a8e49824422dd35bcdc,https://github.com/vllm-project/vllm/pull/30739
90,CANDIDATE,,runtime_bug,#31611,[BugFix] Async scheduling: handle model forward errors more cleanly,njhill,vllm-bot,gemini-code-assist; njhill; mgoin,engine,2026-01-04,"ready, v1",9,16,1,1,vllm/v1/engine/core.py,,b53b89fdb3f4a857eabee5091187cfa937502711,https://github.com/vllm-project/vllm/pull/31611
90,CANDIDATE,,runtime_bug,#31585,[Bug] Revert torch warning fix,yewentao256,yewentao256,gemini-code-assist; yewentao256; njhill,worker,2026-01-05,"bug, ready, v1",6,8,3,3,tests/v1/e2e/test_async_scheduling.py | vllm/envs.py | vllm/v1/worker/gpu_worker.py,,af9a7ec2558293981fc984d064dfca4887c8033c,https://github.com/vllm-project/vllm/pull/31585
90,CANDIDATE,,runtime_bug,#28874,[Bugfix] vLLM produces invalid UTF-8 tokens and “�”,johncalesp,benchislett,gemini-code-assist; chatgpt-codex-connector; johncalesp; benchislett,engine,2026-01-06,"bug, ready, v1",535,29,3,3,tests/v1/engine/test_output_processor.py | tests/v1/sample/test_logprobs.py | vllm/v1/engine/logprobs.py,,2f4e6548efec402b913ffddc8726230d9311948d,https://github.com/vllm-project/vllm/pull/28874
90,CANDIDATE,,runtime_bug,#31841,[Bugfix] Fix race condition in async-scheduling for vlm model,tianshu-Michael-yu,DarkLight1337,gemini-code-assist; DarkLight1337,worker,2026-01-07,"ready, v1",14,3,1,1,vllm/v1/worker/gpu_model_runner.py,,efeaac92f22f8a0a26c6bb9b9182f316210bb19c,https://github.com/vllm-project/vllm/pull/31841
90,CANDIDATE,,runtime_bug,#30751,[Bugfix]: prevent leaking tokens in crash log,dr75,DarkLight1337,gemini-code-assist; DarkLight1337,scheduler,2026-01-07,"ready, v1",25,0,1,1,vllm/v1/core/sched/output.py,,1d9e9ae8a4498782de0dd51627ab1fddac4692ef,https://github.com/vllm-project/vllm/pull/30751
90,CANDIDATE,,runtime_bug,#31908,[BugFix] Fix bad words with speculative decoding,njhill,mgoin,gemini-code-assist; mgoin,sampling,2026-01-07,"ready, v1",26,22,2,2,tests/v1/sample/test_rejection_sampler.py | vllm/v1/sample/ops/bad_words.py,,10ef65eded8187df92c370d6ffd7fd2b8a3c1d3c,https://github.com/vllm-project/vllm/pull/31908
90,CANDIDATE,,runtime_bug,#31944,[BugFix] Fix spec decoding edge case bugs,njhill,DarkLight1337,njhill; gemini-code-assist; DarkLight1337,"scheduler, worker",2026-01-08,"ready, v1",49,46,3,3,vllm/v1/core/sched/scheduler.py | vllm/v1/worker/gpu_input_batch.py | vllm/v1/worker/gpu_model_runner.py,,287b37cda421f5e037e3b31fe330bfc4908faeaf,https://github.com/vllm-project/vllm/pull/31944
90,CANDIDATE,,runtime_bug,#31982,[BugFix] Add spec-decode-incompatible request param validation,njhill,njhill,gemini-code-assist; njhill; DarkLight1337,engine,2026-01-09,"ready, v1",12,3,2,2,tests/v1/distributed/test_eagle_dp.py | vllm/v1/engine/input_processor.py,,11cec296dd47bbb25c3bb4e40bcc11341d6a2fe2,https://github.com/vllm-project/vllm/pull/31982
90,CANDIDATE,,runtime_bug,#30437,[Bugfix] missing tokens occur in harmony streaming,Ri0S,chaunceyjiang,gemini-code-assist; chaunceyjiang,api/frontend,2026-01-09,"frontend, ready, gpt-oss",13,7,2,2,vllm/entrypoints/context.py | vllm/entrypoints/openai/serving_responses.py,,e2d49ec2a4818186b8bafda43f97c298ff91a35e,https://github.com/vllm-project/vllm/pull/30437
90,CANDIDATE,,runtime_bug,#31921,[Bugfix] Fix OpenAPI schema test failures,AndreasKaratzas,ywang96,gemini-code-assist; AndreasKaratzas; ywang96,api/frontend,2026-01-09,"frontend, ready",11,3,2,2,tests/entrypoints/openai/test_openai_schema.py | vllm/entrypoints/openai/protocol.py,,020732800caf3ba1eae62098c4264dac7ef35611,https://github.com/vllm-project/vllm/pull/31921
90,CANDIDATE,,runtime_bug,#31857,[Bugfix] fix encoder cache leak of waiting requests in scheduler to solve stuck in CPU scheduling,frelam,ywang96,gemini-code-assist; ywang96; frelam; cursor,scheduler,2026-01-10,"ready, v1",5,0,1,1,vllm/v1/core/sched/scheduler.py,,a01a1c0d691f89fa4788102eb0bd9b15607c1cca,https://github.com/vllm-project/vllm/pull/31857
90,CANDIDATE,,runtime_bug,#31583,[BugFix] scheduler: Fix resuming of preempted requests after async load,orozery,vllm-bot,gemini-code-assist; NickLucche; njhill; cursor; orozery,scheduler,2026-01-10,"ready, v1",28,4,3,3,tests/v1/core/test_scheduler.py | vllm/v1/core/sched/scheduler.py | vllm/v1/request.py,,028599739d617b76c55179a9dabddb458e1fe035,https://github.com/vllm-project/vllm/pull/31583
90,CANDIDATE,,runtime_bug,#32118,[Bugfix] Fix stale SSM state for new Mamba requests scheduled as decode,Josephasafg,heheda12345,gemini-code-assist; heheda12345,attention,2026-01-12,"ready, v1",24,3,2,2,tests/v1/attention/test_batch_reordering.py | vllm/v1/attention/backends/utils.py,,8fb2c135be35d4d07b3ef25e36c51733345a01eb,https://github.com/vllm-project/vllm/pull/32118
90,CANDIDATE,,runtime_bug,#32173,[BugFix] scheduler: Fix ordering preserving of skipped requests,orozery,njhill,gemini-code-assist; njhill,scheduler,2026-01-12,"ready, v1",31,15,2,2,tests/v1/core/test_scheduler.py | vllm/v1/core/sched/request_queue.py,,2be765b68ace5efe4cba4d03495f543c85784688,https://github.com/vllm-project/vllm/pull/32173
90,CANDIDATE,,runtime_bug,#32127,[BugFix] Fix engine crash caused by chat tools + response_format,njhill,njhill,gemini-code-assist; chaunceyjiang; njhill,engine,2026-01-13,"ready, v1, tool-calling",47,0,3,3,tests/tool_use/test_chat_completions.py | vllm/tool_parsers/abstract_tool_parser.py | vllm/v1/engine/input_processor.py,,c6bb5b56030df628697bcccad551276f81d2019e,https://github.com/vllm-project/vllm/pull/32127
90,CANDIDATE,,runtime_bug,#32283,[BugFix] Assign page_size_padded when unifying kv cache spec.,Lumosis,heheda12345,gemini-code-assist; yaochengji; Lumosis; heheda12345,scheduler,2026-01-14,"bug, ready, v1",99,1,2,2,tests/v1/core/test_kv_cache_utils.py | vllm/v1/core/kv_cache_utils.py,,66652e8082b69ba7d1e6aca7c234433de55f1b9b,https://github.com/vllm-project/vllm/pull/32283
90,CANDIDATE,,runtime_bug,#32314,[Bugfix] Strengthen the check of X-data-parallel-rank in Hybrid LB mode,dtcccc,chaunceyjiang,gemini-code-assist; njhill,"api/frontend, config, engine",2026-01-15,"bug, frontend, ready, v1",20,22,7,7,tests/v1/engine/test_engine_core_client.py | vllm/config/parallel.py | vllm/entrypoints/cli/serve.py | vllm/v1/engine/coordinator.py | vllm/v1/engine/core_client.py | vllm/v1/engine/input_processor.py | vllm/v1/engine/utils.py,,1e584823f8f9f7b8504c90dfa7689061537280da,https://github.com/vllm-project/vllm/pull/32314
90,CANDIDATE,,runtime_bug,#32348,[Model Runner V2] Support FlashInfer backend & Fix CUDA Graph bug [1/2],WoosukKwon,WoosukKwon,gemini-code-assist,worker,2026-01-15,"bug, v1, nvidia",17,7,2,2,vllm/v1/worker/gpu/cudagraph_utils.py | vllm/v1/worker/gpu/model_runner.py,,6218034dd7f9a56596e4fd8c8c8fc1d8011ed9c2,https://github.com/vllm-project/vllm/pull/32348
90,CANDIDATE,,runtime_bug,#32417,[BUGFIX]  Fix degenerate strides in TRTLLM query tensors for FlashInfer backend. Fixes issue #32353,vadiklyutiy,pavanimajety,gemini-code-assist; mgoin; vadiklyutiy; dolpm; pavanimajety,attention,2026-01-19,"bug, ready, v1, nvidia",10,4,1,1,vllm/v1/attention/backends/flashinfer.py,,6101a26dc95631d9e0cfe217089b1bb7f73d533e,https://github.com/vllm-project/vllm/pull/32417
90,CANDIDATE,,runtime_bug,#32789,[Bugfix] Fix Whisper/encoder-decoder GPU memory leak,NickLucche,DarkLight1337,gemini-code-assist; DarkLight1337,scheduler,2026-01-22,"bug, ready, v1, multi-modality",54,5,2,2,tests/models/multimodal/generation/test_whisper.py | vllm/v1/core/encoder_cache_manager.py,,ea6102b85da808b23055912391977f43fbe3f227,https://github.com/vllm-project/vllm/pull/32789
90,CANDIDATE,,runtime_bug,#33164,[Bugfix] Disable CG for Whisper+FA2,NickLucche,DarkLight1337,gemini-code-assist; DarkLight1337,attention,2026-01-27,"bug, ready, v1",20,0,1,1,vllm/v1/attention/backends/flash_attn.py,,1f3a2c2944f240ff043c3b7e01c4ae81461b09ed,https://github.com/vllm-project/vllm/pull/33164
90,CANDIDATE,,runtime_bug,#33037,[BugFix] Fix P/D with non-MoE DP,njhill,njhill,gemini-code-assist; cursor; NickLucche; njhill,engine,2026-01-27,"bug, ready, v1, kv-connector",18,11,2,2,vllm/v1/engine/core.py | vllm/v1/engine/utils.py,,0cd259b2d8b3f5cc237bea833b283db54d21529c,https://github.com/vllm-project/vllm/pull/33037
90,CANDIDATE,,runtime_bug,#33020,[Bugfix] Fix display error (inconsistent with context),lingebeng,yewentao256,gemini-code-assist; yewentao256,engine,2026-01-27,"bug, ready",2,2,1,1,vllm/engine/arg_utils.py,,f5d7049cc119e9bc572f29267e270b82a39d6ec1,https://github.com/vllm-project/vllm/pull/33020
90,CANDIDATE,,runtime_bug,#32821,[Bugfix] Lazy import NgramProposer in GPU model runner,22quinn,njhill,gemini-code-assist; cursor; njhill; 22quinn,worker,2026-01-28,"bug, ready, v1",6,2,1,1,vllm/v1/worker/gpu_model_runner.py,,a2b877df6c95b539ef23585051ab60bfa3ad177a,https://github.com/vllm-project/vllm/pull/32821
90,CANDIDATE,,runtime_bug,#33358,[BUGFIX][XPU] fix memory check after XPU reuse GPU_worker ,xuechendi,WoosukKwon,gemini-code-assist; WoosukKwon,worker,2026-01-29,"bug, v1",1,1,1,1,vllm/v1/worker/gpu_worker.py,,8c8ebeb941d7bcc380b4aa685fd5201100c9eeca,https://github.com/vllm-project/vllm/pull/33358
90,CANDIDATE,,runtime_bug,#33426,[Bugfix] Fix typo in read_offset variable name,bet0x,njhill,gemini-code-assist; njhill,engine,2026-01-31,"bug, ready, v1",1,1,1,1,vllm/v1/engine/detokenizer.py,,64a40a7ab4d0053830fae04c83763fa67f2183e6,https://github.com/vllm-project/vllm/pull/33426
90,CANDIDATE,,runtime_bug,#33360,[BugFix] Fix whisper FA2 + full cudagraphs,LucasWilkinson,DarkLight1337,gemini-code-assist; NickLucche; mgoin,"attention, worker",2026-01-31,"bug, ready, v1, nvidia",12,12,2,2,vllm/v1/attention/backends/flash_attn.py | vllm/v1/worker/gpu_model_runner.py,,0a3c71e7e5f06507f64677f77d5fca84d9c7cc65,https://github.com/vllm-project/vllm/pull/33360
90,CANDIDATE,,runtime_bug,#33110,[Bugfix] Early-reject requests with MM data longer than encode cache capacity,YunzhuLu,vllm-bot,gemini-code-assist; DarkLight1337; YunzhuLu; ywang96,engine,2026-01-31,"bug, ready, v1",31,0,1,1,vllm/v1/engine/input_processor.py,,27cb2f678f7567b14a13a2f7e085137dca1a4129,https://github.com/vllm-project/vllm/pull/33110
90,CANDIDATE,,runtime_bug,#33524,[Fix] prefix cache hit rate == 0 bug with gpt-oss style models,ivanium,heheda12345,gemini-code-assist; heheda12345,scheduler,2026-02-02,"bug, ready, v1, gpt-oss",366,47,2,2,tests/v1/core/test_prefix_caching.py | vllm/v1/core/kv_cache_coordinator.py,,a01ef3fa51a0312914ca60ecbab2bc45aa43e32c,https://github.com/vllm-project/vllm/pull/33524
90,CANDIDATE,,runtime_bug,#33635,[Bugfix] Interleaved thinking keeps compatibility with reasoning_content,chaunceyjiang,DarkLight1337,gemini-code-assist; koush; DarkLight1337,api/frontend,2026-02-03,"bug, frontend, ready",3,0,1,1,vllm/entrypoints/chat_utils.py,,bf001da4bfb53854927b68055a12efd05d494786,https://github.com/vllm-project/vllm/pull/33635
90,CANDIDATE,,runtime_bug,#33377,[Bugfix][Async][Connector] avoid vllm-side double free during async scheduling + request abort + async KV cache transfer,KuntaiDu,DarkLight1337,gemini-code-assist; orozery,scheduler,2026-02-03,"bug, ready, v1, kv-connector",6,2,1,1,vllm/v1/core/sched/scheduler.py,,fbb3cf698123cc1243dae8003b63dfa807ef8b53,https://github.com/vllm-project/vllm/pull/33377
90,CANDIDATE,,runtime_bug,#33647,[Bugfix] Do not add extra \n for image-only cases when constructing multimodal text prompts.,noooop,DarkLight1337,gemini-code-assist; Isotr0py; DarkLight1337,api/frontend,2026-02-03,"bug, frontend, ready",4,1,1,1,vllm/entrypoints/chat_utils.py,,f3d8a3467111d861cb814152f9c5c8aeaff335c2,https://github.com/vllm-project/vllm/pull/33647
90,CANDIDATE,,runtime_bug,#33729,[BugFix][Spec Decoding] Fix negative accepted tokens metric crash,njhill,robertgshaw2-redhat,gemini-code-assist; robertgshaw2-redhat,scheduler,2026-02-03,"bug, ready, v1",61,1,2,2,tests/v1/core/test_scheduler.py | vllm/v1/core/sched/scheduler.py,,52ee21021a87735d46c4245c60bc0be42dd58c73,https://github.com/vllm-project/vllm/pull/33729
90,CANDIDATE,,runtime_bug,#33701,[Bugfix] Fix torchrun PP broadcast deadlock with async scheduling,Isotr0py,Isotr0py,gemini-code-assist; yewentao256; Isotr0py; DarkLight1337,worker,2026-02-04,"bug, ready, v1",4,7,3,3,tests/distributed/test_torchrun_example.py | tests/distributed/test_torchrun_example_moe.py | vllm/v1/worker/gpu_model_runner.py,,02080179a3fc92c339b93040838f44b72313e07b,https://github.com/vllm-project/vllm/pull/33701
90,CANDIDATE,,runtime_bug,#32255,[BugFix] scheduler: Delay freeing blocks of aborted async loads,orozery,markmc,gemini-code-assist; cursor; markmc,scheduler,2026-02-04,"bug, ready, v1, kv-connector",123,6,3,3,tests/v1/core/test_scheduler.py | tests/v1/kv_connector/unit/test_offloading_connector.py | vllm/v1/core/sched/scheduler.py,,8e3269086916d81b010a2d6209784a106ac2994a,https://github.com/vllm-project/vllm/pull/32255
90,CANDIDATE,,runtime_bug,#33794,[Bugfix] Fix `normalize` still being passed to `PoolerConfig`,DarkLight1337,noooop,gemini-code-assist; noooop,api/frontend,2026-02-04,"bug, frontend, ready",3,3,2,2,tests/models/language/pooling/test_embedding.py | vllm/entrypoints/llm.py,,80f921ba4bab2ea251d149305ea0f912c6fc218a,https://github.com/vllm-project/vllm/pull/33794
90,CANDIDATE,,runtime_bug,#33694,[Bugfix] Fix ubatch wrapper num_tokens calculate,jiangkuaixue123,LucasWilkinson,gemini-code-assist; LucasWilkinson,worker,2026-02-04,"bug, ready, v1",1,3,1,1,vllm/v1/worker/gpu_ubatch_wrapper.py,,87d9a261664705e0c9635014b4e2d49eddc8a056,https://github.com/vllm-project/vllm/pull/33694
90,CANDIDATE,,runtime_bug,#33192,[Bugfix] Disable TRTLLM attention when KV transfer is enabled,ZhanqiuHu,NickLucche,gemini-code-assist; cursor; NickLucche; ZhanqiuHu,attention,2026-02-05,"bug, ready, v1, nvidia",17,0,1,1,vllm/v1/attention/backends/flashinfer.py,,bbe0574d8e51c1c5935aeff9e92040c61d1d59c5,https://github.com/vllm-project/vllm/pull/33192
90,CANDIDATE,,runtime_bug,#34027,[bug-fix] supported_tasks is breaking backward compatibility at init_app_state,kouroshHakha,DarkLight1337,gemini-code-assist; DarkLight1337; kouroshHakha,api/frontend,2026-02-09,"bug, frontend, ready",26,2,1,1,vllm/entrypoints/openai/api_server.py,,a75a5b54c7f76bc2e15d3025d61e63cc91c7b0d7,https://github.com/vllm-project/vllm/pull/34027
90,CANDIDATE,,runtime_bug,#34167,[ModelRunner V2][BugFix] Fix `max_query_len` calculation,njhill,njhill,WoosukKwon; gemini-code-assist; njhill,worker,2026-02-09,"bug, ready, v1, nvidia",6,1,4,4,vllm/v1/worker/gpu/attn_utils.py | vllm/v1/worker/gpu/cudagraph_utils.py | vllm/v1/worker/gpu/model_runner.py | vllm/v1/worker/gpu/spec_decode/eagle.py,,e7e52781ff636bf772301c9282a7601c73b8b905,https://github.com/vllm-project/vllm/pull/34167
90,CANDIDATE,,runtime_bug,#34183,[Bugfix][Core] Fix CPU memory leak from Request reference cycle in prefix caching,ywang96,DarkLight1337,gemini-code-assist; ywang96; njhill; DarkLight1337,scheduler,2026-02-10,"bug, ready, v1",14,12,3,3,tests/v1/core/test_async_scheduler.py | vllm/v1/core/sched/scheduler.py | vllm/v1/request.py,,8a5e0e2b2bb925d162328927b7565514fa355da1,https://github.com/vllm-project/vllm/pull/34183
