pr,title,type,skip_reason,author,merged_by,merged_at,labels,merge_sha,url
#30869,[Bugfix] fix the alias bug of AttentionBackendEnum when register CUSTOM attention backend to vllm,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),zejunchen-zejun,tjtanaa,2025-12-20,"rocm, ready",d52c5096d7305abc7f266026cb042121ff5bccda,https://github.com/vllm-project/vllm/pull/30869
#31013,[Bugfix] Read truncate_prompt_tokens from pooling_params in AsyncLLM.encode(),runtime_bug,,jeffreywang-anyscale,DarkLight1337,2025-12-20,"ready, v1",1501a4070ec1f5e3f8f1ffd0099dc32d85a9ad98,https://github.com/vllm-project/vllm/pull/31013
#30962,[Quantization] support logical_widths for fp8 marlin,runtime_bug,,jinzhen-lin,vllm-bot,2025-12-20,"bug, ready",ee52d9901d368da35a80048c299ccb53e78a9a01,https://github.com/vllm-project/vllm/pull/30962
#30608,[BugFix]fix gpt-oss v1/completions response bug,runtime_bug,,princepride,chaunceyjiang,2025-12-21,"frontend, ready, tool-calling, gpt-oss",3e92b2b7acaa61335ecd7bea5eeed50388739194,https://github.com/vllm-project/vllm/pull/30608
#31109,[Bugfix][ROCm] Fix typo: is_linear_fp8_enaled -> is_linear_fp8_enabled,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),c0de128,vllm-bot,2025-12-22,rocm,cf8eed7bef52293a9a6706a2953374b24dff2c81,https://github.com/vllm-project/vllm/pull/31109
#30242,[BugFix] skip language model in Encoder,runtime_bug,,Bounty-hunter,vllm-bot,2025-12-22,"documentation, ready, v1, qwen, kv-connector",8f8f469b1b8c4ef44a0a8a5f0bc6ddf86acbc9db,https://github.com/vllm-project/vllm/pull/30242
#31151,[CI][Bugfix] Fix `entrypoints/openai/test_audio.py`,not_bugfix,not a bugfix (Feature/Perf/CI/Refactor),NickLucche,vllm-bot,2025-12-22,ready,b1c3f96ae3874cc3b5a6bc7e55f43339b81da183,https://github.com/vllm-project/vllm/pull/31151
#31173,[Bug] Fix `'CutlassMLAImpl' object has no attribute '_workspace_buffer'`,runtime_bug,,yewentao256,vllm-bot,2025-12-22,"ready, v1, nvidia",5312a7284e58e47bd10f7acbab52f703714027c2,https://github.com/vllm-project/vllm/pull/31173
#31198,[Bugfix] Fix Jais2ForCausalLM,runtime_bug,,jeejeelee,DarkLight1337,2025-12-23,ready,6b16fff01b671840420fef304a62a77279d56533,https://github.com/vllm-project/vllm/pull/31198
#31161,[Bugfix] Fix MoE LoRA bin/pt loading,runtime_bug,,jeejeelee,jeejeelee,2025-12-23,ready,27c6c2f98c68971fcf4e763938efd2350f517dc5,https://github.com/vllm-project/vllm/pull/31161
#31203,[ROCm][Bugfix] Fix RuntimeError in MMEncoderAttention by replacing .view() with .reshape(),platform_specific,platform-specific (ROCm/TPU/CPU/XPU),AndreasKaratzas,robertgshaw2-redhat,2025-12-23,"rocm, ready, multi-modality",bfa2c0bbb9b4bf3f893a84f429a79c7905574aa5,https://github.com/vllm-project/vllm/pull/31203
#31223,[Bugfix] Enable `dynamic_dims` for different embeds shape,runtime_bug,,DarkLight1337,DarkLight1337,2025-12-24,"ready, multi-modality, qwen",dd424571c8edaf7c68fe4ff400da8ef9f26a1e48,https://github.com/vllm-project/vllm/pull/31223
#31160,[Bug] Fix `Number of dimensions of tensors must match.` for Deepseek V3.2,runtime_bug,,yewentao256,jeejeelee,2025-12-24,"ready, deepseek",76e6a951925bf37c49f88ad155dc9fcec01a3faf,https://github.com/vllm-project/vllm/pull/31160
#31235,[ROCm][CI][Bugfix] Fix Siglip2 rotary embedding dispatch and InternVL video test tolerance,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),AndreasKaratzas,robertgshaw2-redhat,2025-12-24,"rocm, ready, multi-modality",e42894f5b530c12b4783ec37d6b5b345b9ccb349,https://github.com/vllm-project/vllm/pull/31235
#31149,[Bugfix][ROCm][Dynamo][DS 3.1][FP8] fix unsupported hasattr call when Dynamo tracing for ROCm device,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),zejunchen-zejun,vllm-bot,2025-12-24,"rocm, ready",dabff12ed3fde16c6f27704dd536c0e3b3fb5782,https://github.com/vllm-project/vllm/pull/31149
#31261,[Bugfix][ROCm] Fix load issue on deepseek quark quantization when shared expert enabled,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),ganyi1996ppo,DarkLight1337,2025-12-24,"rocm, ready, deepseek",b41aeb3468fecb33b7934fc7ca5406bdba84dace,https://github.com/vllm-project/vllm/pull/31261
#31260,"[Bugfix] Fix `max_model_len=""auto""` handling",runtime_bug,,DarkLight1337,DarkLight1337,2025-12-24,"ready, v1",7adeb4bfa8630773c84f9ad9e97830becd540896,https://github.com/vllm-project/vllm/pull/31260
#31179,[Bugfix][Hardware][AMD] Fix FP8 dtype in silu_mul quantization,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),c0de128,yewentao256,2025-12-24,"rocm, ready",66c98874401b1e246e6c649942156720da671acd,https://github.com/vllm-project/vllm/pull/31179
#31294,[Bugfix] Remove dead `block_quant_to_tensor_quant` function,runtime_bug,,yurekami,yewentao256,2025-12-24,ready,506eb0f45454a07a21bf6d8731475be2a279277b,https://github.com/vllm-project/vllm/pull/31294
#31241,[Bugfix] Fix eagle dp tests on A100,runtime_bug,,zou3519,LucasWilkinson,2025-12-25,"ready, v1",254f6b986720c92ddf97fbb1a6a6465da8e87e29,https://github.com/vllm-project/vllm/pull/31241
#31332,[BugFix] Fix async scheduling + reasoning with struct output,runtime_bug,,njhill,njhill,2025-12-25,"bug, structured-output, ready, v1",81786c87748b0177111dfdc07af5351d8389baa1,https://github.com/vllm-project/vllm/pull/31332
#31322,[Bugfix] Support LoRA and GPTQModel for PLaMo 2/3 ,runtime_bug,,Alnusjaponica,jeejeelee,2025-12-26,"documentation, ready",9ee05cbe7f29d72580f613553dcd2af8e770ccca,https://github.com/vllm-project/vllm/pull/31322
#31376,[BugFix] Fix cache issue in compilation_config,runtime_bug,,BoyuanFeng,yewentao256,2025-12-27,ready,2f12cd32c06647f5f3f8d3e020eaed4cd290424a,https://github.com/vllm-project/vllm/pull/31376
#31395,[BugFix] register quant scale tensors as buffer,runtime_bug,,BoyuanFeng,DarkLight1337,2025-12-28,ready,62def07d6786b39cd51b896b254fb2a40cc0f503,https://github.com/vllm-project/vllm/pull/31395
#31373,[BugFix] Re-fix async multimodal cpu tensor race condition,runtime_bug,,njhill,vllm-bot,2025-12-28,"ready, v1",094fcce250110b7987f36468a3b4e28cc4858378,https://github.com/vllm-project/vllm/pull/31373
#30719,[ROCm][GPTQ][Bugfix] Fix GPTQ GEMM kernel output zeroing race condition,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),AndreasKaratzas,vllm-bot,2025-12-29,"bug, rocm, ready",3ecfdc377681064f85684bb1ce5cc44c82e69b03,https://github.com/vllm-project/vllm/pull/30719
#31445,[Bugfix][Frontend] Fix Jina reranker multimodal input compatibility,runtime_bug,,twjww,vllm-bot,2025-12-29,"frontend, ready, multi-modality",bf73a3e4d7e16d03c89ac068de9cf80664f8195f,https://github.com/vllm-project/vllm/pull/31445
#31438,[Bugfix] Preserve tool call id/type/name in streaming finish chunk,runtime_bug,,amittell,chaunceyjiang,2025-12-29,"frontend, ready",9c884faa95f0c58ff2831278cc65a68a48aef679,https://github.com/vllm-project/vllm/pull/31438
#31502,[Bugfix][ROCm] Fix Static Quant Issue,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),robertgshaw2-redhat,vllm-bot,2025-12-29,"bug, rocm",56f516254c5ff024e3986a4d625f698f3ec2a288,https://github.com/vllm-project/vllm/pull/31502
#31522,[xpu] [bugfix] upgrade to latest oneccl in dockerfile,not_bugfix,not a bugfix (Feature/Perf/CI/Refactor),rogerxfeng8,jikunshang,2025-12-30,"ready, ci/build",3d973764cecb625c7978a4d81d85165f1ff94c8d,https://github.com/vllm-project/vllm/pull/31522
#31523,[ROCm][Bugfix] Fix accuracy issue on fmoe when `VLLM_ROCM_USE_AITER_FUSION_SHARED_EXPERTS` enabled,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),ganyi1996ppo,tjtanaa,2025-12-30,"rocm, ready",1a834df2d40d3279712e5c8d4b8c326d52b1f523,https://github.com/vllm-project/vllm/pull/31523
#31453,[BugFix]  add select_gemm_impl on CompressedTensorsWNA16MoEMethod to support LoRA,runtime_bug,,JartX,vllm-bot,2025-12-30,ready,07728bf5cd7165972f89e52e8b31ca28576262ec,https://github.com/vllm-project/vllm/pull/31453
#31505,[Bugfix]Fix pooling model always disabled due to incorrect PP rank check,runtime_bug,,vintipandey,simon-mo,2025-12-30,"ready, v1",04147dcfa70fb7228ce9e2f88fa7dd41631d17f0,https://github.com/vllm-project/vllm/pull/31505
#31520,[BugFix] Fix NUMA node validation in CPU platform,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),SameerAsal,bigPYJ1151,2025-12-31,"ready, cpu",70e1acefcdecc9923ab90b5162cf90fd835fd749,https://github.com/vllm-project/vllm/pull/31520
#31390,[Bug] Fix log issue with `\n`,runtime_bug,,yewentao256,vllm-bot,2025-12-31,"bug, ready, v1",357d435c549dbfcce9f1dd2c737750d7046cffee,https://github.com/vllm-project/vllm/pull/31390
#31546,[Bugfix] Fix BAGEL online serving for text and image understanding,runtime_bug,,Dylan1229,vllm-bot,2025-12-31,ready,d8da76f3b7e48d8b8a5274e78e8190c9d0671175,https://github.com/vllm-project/vllm/pull/31546
#31584,[BugFix] Fix async scheduling for pooling models,runtime_bug,,njhill,vllm-bot,2025-12-31,"bug, ready, v1",6c2cfb62ffb81b1ec3c39d2501d1e51ed6e76a4e,https://github.com/vllm-project/vllm/pull/31584
#31565,[CI][Bugfix] Fix token counting in chunked prefill streaming test,not_bugfix,not a bugfix (Feature/Perf/CI/Refactor),AndreasKaratzas,njhill,2025-12-31,ready,21de6d4b02edb393adea68833ef5822125a9203d,https://github.com/vllm-project/vllm/pull/31565
#31590,[Bugfix] Replace BaseException with specific exceptions in FLA utils,runtime_bug,,c0de128,vllm-bot,2026-01-02,ready,5fff44064b38012d5675d54620dc3dc3c28eb522,https://github.com/vllm-project/vllm/pull/31590
#31540,[Bugfix] Fix block size used in EAGLE slot mapping,runtime_bug,,benchislett,vllm-bot,2026-01-02,"bug, speculative-decoding, ready, v1",ea53ca5e8583b2154ffd8041dfc8735929a58105,https://github.com/vllm-project/vllm/pull/31540
#31572,[Bugfix] Fix activation quantization for compressed-tensors W4A16,runtime_bug,,Tmn07,vllm-bot,2026-01-02,ready,ca179d0f64743537a430631e7fc79405ec2887cb,https://github.com/vllm-project/vllm/pull/31572
#31282,[Bugfix][Hardware][AMD] Fix last_page_len calculation in AITER MLA decode,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),c0de128,vllm-bot,2026-01-02,"rocm, ready, v1",825c2dc133d490c468a35c573500107f44b32ac8,https://github.com/vllm-project/vllm/pull/31282
#31103,[Bugfix] Fix weight_loader v1 block scale,runtime_bug,,kyuyeunk,DarkLight1337,2026-01-02,ready,cc410e864480aee7fc01cfc6017abca677b198df,https://github.com/vllm-project/vllm/pull/31103
#30739,[BugFix] Support online dense model DP without overhead,runtime_bug,,njhill,youkaichao,2026-01-02,"ready, v1, kv-connector",bd877162ebd7a2eb36961a8e49824422dd35bcdc,https://github.com/vllm-project/vllm/pull/30739
#31630,[CI][Bugfix] Fix token counting in chunked prefill compl test,not_bugfix,not a bugfix (Feature/Perf/CI/Refactor),AndreasKaratzas,DarkLight1337,2026-01-03,ready,4f9ce35afe45a3222cbcb80dad39c6d9c3a61c6d,https://github.com/vllm-project/vllm/pull/31630
#31611,[BugFix] Async scheduling: handle model forward errors more cleanly,runtime_bug,,njhill,vllm-bot,2026-01-04,"ready, v1",b53b89fdb3f4a857eabee5091187cfa937502711,https://github.com/vllm-project/vllm/pull/31611
#31663,[Bugfix] Fix  AttributeError: 'Stream' object has no attribute 'dp_size',runtime_bug,,jeejeelee,DarkLight1337,2026-01-05,ready,f099cd557a82f62f5368904d15f39d4dd672e6e9,https://github.com/vllm-project/vllm/pull/31663
#31455,[Bugfix] Fix EPLB state logging error,runtime_bug,,tlrmchlsmth,chaunceyjiang,2026-01-05,ready,fe8a9fbd2e2b3c3443c599bae05c24d3501a901e,https://github.com/vllm-project/vllm/pull/31455
#31581,[Frontend] [Bugfix] respect server-level default chat template kwargs in reasoning parser,not_bugfix,not a bugfix (Feature/Perf/CI/Refactor),cjackal,chaunceyjiang,2026-01-05,"frontend, ready",e2701cc52514c13a460e90746c901cce8ad753f9,https://github.com/vllm-project/vllm/pull/31581
#31643,[Bugfix][CPU] Fix RotaryEmbedding fallback causing gibberish with --enforce-eager,runtime_bug,,ricky-chaoju,bigPYJ1151,2026-01-05,ready,c455b771fdfd9185ca5c20d315c07dd5390b5459,https://github.com/vllm-project/vllm/pull/31643
#31644,[Bugfix] Add missing extra_tensors arg to DeviceCommunicatorBase.disp…,runtime_bug,,kzwrime,bigPYJ1151,2026-01-05,ready,21156ff1999f180c95176d4be9b9efb16dcb8473,https://github.com/vllm-project/vllm/pull/31644
#31150,[BugFix] Fix architecture flags to prevent issues on SM103,runtime_bug,,LopezCastroRoberto,mgoin,2026-01-05,"ready, ci/build, nvidia",fdcc5176beb70e801d9baae14f992819b1ffcffb,https://github.com/vllm-project/vllm/pull/31150
#31585,[Bug] Revert torch warning fix,runtime_bug,,yewentao256,yewentao256,2026-01-05,"bug, ready, v1",af9a7ec2558293981fc984d064dfca4887c8033c,https://github.com/vllm-project/vllm/pull/31585
#31742,[Bugfix] Fix Broken ModelOpt NVFP4 MoE,runtime_bug,,robertgshaw2-redhat,mgoin,2026-01-05,"bug, ready, llama, nvidia",f6c0009afa366e4238cb118882415cd6c448c16b,https://github.com/vllm-project/vllm/pull/31742
#31175,[Bugfix] Properly apply v_scale for mimo_v2_flash,runtime_bug,,mgoin,mgoin,2026-01-05,"bug, ready",95130298981428053a23376e89a771afc7fc37af,https://github.com/vllm-project/vllm/pull/31175
#28874,[Bugfix] vLLM produces invalid UTF-8 tokens and “�”,runtime_bug,,johncalesp,benchislett,2026-01-06,"bug, ready, v1",2f4e6548efec402b913ffddc8726230d9311948d,https://github.com/vllm-project/vllm/pull/28874
#31042,[Bugfix] Add init_workspace_manager to moe kernel benchmarks,runtime_bug,,mgoin,vllm-bot,2026-01-06,"performance, nvidia",e1cd7a5faffd188cd204f7b54eea6cb35f787ee9,https://github.com/vllm-project/vllm/pull/31042
#31177,[Bugfix][Hardware][AMD] Fix exception types in AITER MLA FP8 check,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),c0de128,tjtanaa,2026-01-06,"rocm, ready",1fb0209bbc476df3ddbe1dbbaf22fa57248cc8b1,https://github.com/vllm-project/vllm/pull/31177
#31714,[Bugfix][ROCm] Fix Unsupported attention metadata type for speculative decoding in `eagle.py`,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),vllmellm,tjtanaa,2026-01-06,"rocm, speculative-decoding, ready, v1",e9717801bdc5f8dec45ee1d1a8cebed9f4a13544,https://github.com/vllm-project/vllm/pull/31714
#31776,[Bugfix][CI/Build] Fix failing pooling models test due to Triton kernel accuracy diff,runtime_bug,,Isotr0py,noooop,2026-01-06,ready,ee2e69d6cda898736cc2987cb8cdfaa2601c1375,https://github.com/vllm-project/vllm/pull/31776
#31650,[Bugfix] Fix torch.compile error for DP + MoE on CPU Backend,runtime_bug,,kzwrime,bigPYJ1151,2026-01-06,ready,bf0f3a4638869e3fdb2df38b61f41557acc69dfe,https://github.com/vllm-project/vllm/pull/31650
#31790,[Bugfix]: avoid overriding audio/text kwargs (Qwen3-Omni),runtime_bug,,Jzz1943,DarkLight1337,2026-01-06,"ready, qwen",2c1a4f2488da2bb3c60dcbbb5df61a370e39ee27,https://github.com/vllm-project/vllm/pull/31790
#31806,[Bugfix]: Fix cross attention backend selection for Turing GPU,runtime_bug,,Isotr0py,Isotr0py,2026-01-06,ready,02809af1e7cdf63bcf0d73b63a35ad3ea5c6fb81,https://github.com/vllm-project/vllm/pull/31806
#31055,[Bugfix] Fix GLM-4 MoE router logits dtype for data parallel chunking,runtime_bug,,ReinforcedKnowledge,DarkLight1337,2026-01-06,ready,4e67a8f616f4f202fd7a549978914f398a738d49,https://github.com/vllm-project/vllm/pull/31055
#31817,[Bugfix] Handle mistral tokenizer in get_hf_processor,runtime_bug,,DarkLight1337,Isotr0py,2026-01-06,"ready, v1, multi-modality",309a8f66ee0daec7dbee5030dac1bcfcfad7b3ec,https://github.com/vllm-project/vllm/pull/31817
#31816,[ROCm][AITER] bugfix accuracy regression in ROCM_AITER_TRITON_MLA backend,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),vllmellm,tjtanaa,2026-01-07,"rocm, ready, v1",6409004b2656baa147a3ecc6577e5b24fc225541,https://github.com/vllm-project/vllm/pull/31816
#31841,[Bugfix] Fix race condition in async-scheduling for vlm model,runtime_bug,,tianshu-Michael-yu,DarkLight1337,2026-01-07,"ready, v1",efeaac92f22f8a0a26c6bb9b9182f316210bb19c,https://github.com/vllm-project/vllm/pull/31841
#31104,[BugFix] LoRA: Support loading base_layer of experts,runtime_bug,,HollowMan6,jeejeelee,2026-01-07,"speculative-decoding, ready, llama, qwen, deepseek, gpt-oss",482914849cf9ce61d3e0dffaa35096bb34de58f5,https://github.com/vllm-project/vllm/pull/31104
#31106,[Bugfix][Hardware][AMD] Consolidate FP8 min/max values helper function,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),c0de128,DarkLight1337,2026-01-07,"rocm, ready",4614c5a539282e6a8055d3b370b0f58c6f094c25,https://github.com/vllm-project/vllm/pull/31106
#31676,[Bugfix][Kernel] fix bias adding in triton kernel implemented fused moe,runtime_bug,,xuebwang-amd,mgoin,2026-01-07,"bug, ready, gpt-oss",0dd5dee9b9bc88453f5f3eacfde751e6b9ba4871,https://github.com/vllm-project/vllm/pull/31676
#31757,[Bugfix][MTP] Fix GLM4 MoE fp8 loading with MTP on,runtime_bug,,andyl98,Isotr0py,2026-01-07,ready,d111bc53ad2fbb5f28671019d21f5f753436e46d,https://github.com/vllm-project/vllm/pull/31757
#30751,[Bugfix]: prevent leaking tokens in crash log,runtime_bug,,dr75,DarkLight1337,2026-01-07,"ready, v1",1d9e9ae8a4498782de0dd51627ab1fddac4692ef,https://github.com/vllm-project/vllm/pull/30751
#31908,[BugFix] Fix bad words with speculative decoding,runtime_bug,,njhill,mgoin,2026-01-07,"ready, v1",10ef65eded8187df92c370d6ffd7fd2b8a3c1d3c,https://github.com/vllm-project/vllm/pull/31908
#31915,[BugFix] Fix flakiness in test_eagle_dp for PyTorch 2.10,runtime_bug,,zou3519,zou3519,2026-01-08,"ready, v1",a79079feef63d7a8124782cf2eb1cd68cbde99ee,https://github.com/vllm-project/vllm/pull/31915
#31873,[CI][BugFix][AMD] Actually skip tests marked @pytest.mark.skip_v1,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),rasmith,tjtanaa,2026-01-08,"rocm, ready, ci/build",f1b1bea5c36d48561e7ef4cf4d76ffb2529e3212,https://github.com/vllm-project/vllm/pull/31873
#31944,[BugFix] Fix spec decoding edge case bugs,runtime_bug,,njhill,DarkLight1337,2026-01-08,"ready, v1",287b37cda421f5e037e3b31fe330bfc4908faeaf,https://github.com/vllm-project/vllm/pull/31944
#31745,[Bugfix] Remove the num_hidden_layers override for glm4_moe,runtime_bug,,andyl98,DarkLight1337,2026-01-08,ready,e5173d3bac054edc1b556005d804a5acf94eaf15,https://github.com/vllm-project/vllm/pull/31745
#30803,RayLLM Bugfix - Preserve obj store URL for multi engine_config creation,not_bugfix,not a bugfix (Feature/Perf/CI/Refactor),omer-dayan,Isotr0py,2026-01-08,ready,04a49669d1be26b2a83441c1c5a968cf3131f0e4,https://github.com/vllm-project/vllm/pull/30803
#31967,[CI] [Bugfix] Fix unbounded variable in `run-multi-node-test.sh`,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),tjtanaa,vllm-bot,2026-01-08,"rocm, ready, ci/build",72c068b8e0f084a6a6257d6736e459495f9f56a8,https://github.com/vllm-project/vllm/pull/31967
#31969,[Bugfix]: Fix Step3ReasoningParser missing is_reasoning_end_streaming,runtime_bug,,chaunceyjiang,DarkLight1337,2026-01-08,ready,eaba8ece7700cbeba380530748847f1f5a672733,https://github.com/vllm-project/vllm/pull/31969
#31960,[Bugfix] Fix vllm serve failure with Nemotron Nano V3 FP8,runtime_bug,,danisereb,robertgshaw2-redhat,2026-01-08,ready,b8112c1d85442b060e37df90e9db343cbc7b000c,https://github.com/vllm-project/vllm/pull/31960
#31752,[MoE Refactoring][Bugfix]Wrap WNA16 Triton kernel into mk and change compressed tensor kernel selection,platform_specific,platform-specific (ROCm/TPU/CPU/XPU),zyongye,robertgshaw2-redhat,2026-01-09,"rocm, ready",d62cfe546dc587925b59eebf5aa736ab70d47a1f,https://github.com/vllm-project/vllm/pull/31752
